id	categorie	mecanism	dovada	pozitie	poate_bloca	autoritate	conditie_autoritate	mod	esec	bypass	eroziune	risc	stare	nota
27	automated-test	Pytest in CI	.github/workflows/tests.yml	build	da	conditionata	required status check pe main; branch protection CLASICA (rulesets=0, masurat); continutul ei da 403 Resource not accessible by integration	preventiv	inchis	nu	1	2	activ	Suita verde local si in CI; numele jobului nu se schimba. Cifra exacta sta in specs/audit-unificat.md, nu aici — un numar de teste imbatraneste la fiecare commit.
28	audit	Review AI pe PR-uri	.github/workflows/claude-code-review.yml;.github/workflows/gemini-review.yml;.github/workflows/mistral.yml;.github/workflows/claude.yml	build	nu	niciuna	-	detectiv	deschis	da	2	2	activ	Erorile modelelor sunt corelate: a doua opinie, nu verificare independenta.
29	automated-test	Garzi de proces in teste	tests/test_pr_fantoma.py;tests/test_registru_amanari.py	build	da	conditionata	required status check pe main; branch protection CLASICA (rulesets=0, masurat); continutul ei da 403 Resource not accessible by integration	preventiv	inchis	nu	1	1	activ	Apara procesul, nu produsul.
30	automated-test	Plasa de refactor (mutanti + echivalenta)	tools/mutanti.py;tools/echivalenta.py	build	da	niciuna	-	preventiv	deschis	nu	2	2	activ-partial	Rulare manuala inainte de refactor; comparatia comportamentala 2x nu incape in CI (~50 min).
31	audit	Garda de cod mort	tools/nefolosit.py	monitor	nu	niciuna	-	detectiv	deschis	da	1	1	activ	Trebuie rulata manual.
32	audit	Triage blockers (ramanul-triage-blockers)	specs/registru.tsv	build	nu	niciuna	-	detectiv	deschis	nu	0	0	absent	FANTOMA. e1c8fbe2 e un commit de 14 linii in generator/util.py pe o ramura NEmergeuita, consemnat masurat-fals in IZZ-0266; nu e workflow si nu ruleaza pe main.
33	quality-gate	Deploy worker cu poarta de confirmare	.github/workflows/deploy-worker.yml	deploy	da	efectiva	-	preventiv	inchis	nu	1	2	activ	Refuza fara inputul de confirmare.
34	isolation	Containment agenti (PreToolUse + settings)	.claude/hooks/deny_protected_edits.py;.claude/hooks/deny-protected-edits.sh;.claude/settings.json;AGENTS.md	dev	da	efectiva	-	preventiv	inchis	da	2	2	activ	Schimbat fata de 2026-09-05: hard deny real. Ramane ocolibil din sesiuni fara hook-uri.
35	observability	STATE.md + registrul de decizii	specs/STATE.md;specs/registru.tsv;tools/registru.py	monitor	nu	niciuna	-	preventiv	deschis	nu	1	1	activ	Documentatia nu e source of truth pentru starea tehnica.
36	audit	Workflow-uri auxiliare	.github/workflows/fonts.yml;.github/workflows/trafic.yml;.github/workflows/masoara-gazde.yml;.github/workflows/harta-data.yml;.github/workflows/harta-smoke.yml;.github/workflows/visual.yml	monitor	nu	niciuna	-	detectiv	deschis	da	1	1	activ	Inventar colectiv; nu auditate individual.
37	validator	Grounding gate (control de release)	tools/grounding_gate.py;generator/raport_copiere.py	build	da	efectiva	-	preventiv	inchis	nu	1	2	activ	Adaugat: absent din matricea 2026-09-05. Blocheaza citat inventat si cifra straina; cade inchis la raport lipsa sau variabila neconfigurata.
38	monitor	Detectie de tacere	.github/workflows/detectie-tacere.yml;tools/detectie_tacere.py	monitor	nu	niciuna	-	detectiv	deschis	nu	1	2	activ	Adaugat: raspunde la failure mode-ul Tacere din foaia de failure modes.
39	observability	Jurnal de triaj al aruncarilor	generator/jurnal_triage.py	process	nu	niciuna	-	detectiv	deschis	nu	1	1	activ	Adaugat: istoric comis al pierderilor de ingestie; scrierea esuata nu opreste pipeline-ul.
40	backup	Exercitiu de recuperare	.github/workflows/recovery-drill.yml	deploy	da	efectiva	-	recuperare	inchis	nu	1	2	activ	Adaugat: poarta de rollback cu confirmare.
41	automated-test	Garda de integritate a regulilor	tests/test_reguli.py	build	da	conditionata	required status check pe main; branch protection CLASICA (rulesets=0, masurat); continutul ei da 403 Resource not accessible by integration	preventiv	inchis	nu	1	1	activ	Adaugat: plafoane, cron, harta root si bugetul de pornire verificate mecanic.
42	audit	Garda de PR nelistat	.github/workflows/pr-nelistat.yml;tools/pr_nelistat.py	build	da	conditionata	required status check pe main; branch protection CLASICA (rulesets=0, masurat); continutul ei da 403 Resource not accessible by integration	preventiv	inchis	nu	1	1	activ	Adaugat: apara contractul de coordonare intre sesiuni.
43	legal	Jurnal de takedown	generator/raport_copiere.py;generator/moderation.py	moderation	da	efectiva	-	preventiv	inchis	nu	2	2	activ-partial	Adaugat: takedown-urile se aplica pe orice cale de publicare. Similaritatea pe text ramane fara corpus de calibrare.
44	guard	Garda de redirectare la ingestie	generator/fetch.py;tests/test_fetch_redirect_ssrf.py	fetch	da	efectiva	-	preventiv	inchis	nu	1	2	activ	Adaugat 2026-09-11: compensarea pe care guard.py o cita pe nume (fetch._deschizator_sigur) nu exista; urllib urma redirecturile implicit. Acum fiecare salt trece prin url_ostil. Ramane lexical: un domeniu public care rezolva DIRECT la o adresa interna trece.
45	integrity-check	Invariantul published uniform UTC	generator/util.py;generator/state.py;tests/test_published_utc_invariant.py	process	da	efectiva	-	preventiv	inchis	nu	1	2	activ	Adaugat 2026-09-11: contractul pe care sortarea din state.save il PRESUPUNEA e acum impus in load si save, cu normalizator unic in util.iso_utc. Al patrulea parser il rupea tacut si dezordona articolele zilei.
